Gender,Generation,Term Sub Reason,Employee Grade,Location,Career Bucket,Age Bucket,Manager ID,Talent,Department,active_months,,,,,,
0,3,8,2,1,3,4,100629,5,7,103,,,,,,
0,2,4,1,1,1,2,100076,5,11,11,,,,,,
0,3,1,2,1,3,4,101180,5,11,136,,,,,,
0,2,13,1,4,1,2,101322,5,12,71,,,,,,
0,2,11,2,1,3,4,101498,5,18,9,,,,,,
1,2,13,1,1,2,2,101099,5,49,98,,,,,,
0,2,5,1,1,1,1,100178,5,26,36,,,,,,
0,3,11,2,3,3,5,101634,5,38,118,,,,,,
0,2,11,2,1,3,4,101693,5,21,53,,,,,,
0,2,8,2,1,2,3,100583,5,37,77,,,,,,
1,2,5,1,1,1,1,100726,5,7,25,,,,,,
1,2,5,1,1,1,1,100745,5,7,25,,,,,,
0,2,5,1,1,1,1,100605,5,7,24,,,,,,
0,2,5,1,1,1,1,100745,5,7,24,,,,,,
0,2,14,2,1,2,2,100667,5,7,35,,,,,,
0,2,5,1,1,1,1,101544,5,26,24,,,,,,
0,2,5,1,1,1,1,101492,5,26,28,,,,,,
1,2,1,1,1,2,2,101545,5,26,65,,,,,,
0,2,1,2,1,3,4,100981,5,7,7,,,,,,
0,2,14,1,1,2,2,101047,5,44,47,,,,,,
0,2,1,2,4,2,3,101322,5,12,109,,,,,,
1,2,4,1,1,1,2,101435,5,48,15,,,,,,
0,2,14,2,1,3,4,101568,5,15,105,,,,,,
1,2,4,1,1,1,2,100421,5,3,54,,,,,,
1,2,6,1,1,1,2,100076,5,11,50,,,,,,
1,2,3,1,1,1,2,101321,5,12,57,,,,,,
1,2,1,1,1,1,2,101458,5,43,86,,,,,,
1,2,11,1,1,1,2,100285,5,20,3,,,,,,
1,2,14,2,1,2,3,100332,5,20,9,,,,,,
0,2,3,1,1,2,2,100568,5,35,39,,,,,,
0,2,3,2,1,3,4,100599,5,7,10,,,,,,
1,2,3,2,1,3,4,100745,5,7,11,,,,,,
1,3,12,1,1,3,4,100743,5,7,98,,,,,,
1,2,3,1,1,3,4,100076,5,11,13,,,,,,
1,2,13,1,1,1,2,100121,5,11,14,,,,,,
0,2,1,1,1,2,2,100076,5,11,27,,,,,,
0,2,10,1,1,1,2,102378,5,47,7,,,,,,
1,3,14,1,1,3,4,100024,5,7,40,,,,,,
0,2,11,1,1,2,3,100679,5,7,42,,,,,,
1,2,14,1,1,1,2,100633,5,7,40,,,,,,
0,3,14,2,1,3,5,101059,5,44,72,,,,,,
0,3,16,2,2,3,4,101252,5,33,16,,,,,,
1,2,4,1,1,1,2,101545,5,26,40,,,,,,
1,2,14,1,1,1,2,100633,5,7,74,,,,,,
0,2,13,1,1,2,3,100635,5,7,101,,,,,,
0,2,1,1,1,1,1,100121,5,11,5,,,,,,
0,3,1,2,2,3,5,101252,5,33,41,,,,,,
1,2,14,1,1,1,2,101492,5,26,82,,,,,,
0,2,14,1,1,1,2,101584,5,15,15,,,,,,
1,2,13,1,1,2,3,100296,5,20,26,,,,,,
0,3,1,2,1,3,4,100439,5,3,35,,,,,,
0,2,11,1,1,2,2,100504,5,22,31,,,,,,
0,2,1,1,1,3,4,100504,5,22,103,,,,,,
0,2,1,1,1,2,3,100024,5,7,18,,,,,,
0,2,8,2,1,2,3,100076,5,11,50,,,,,,
0,2,1,2,1,3,4,100354,5,3,38,,,,,,
1,2,8,1,1,2,2,100745,5,7,4,,,,,,
0,3,1,2,1,3,5,101164,5,52,141,,,,,,
0,2,10,1,1,2,3,101200,5,52,35,,,,,,
1,2,1,1,1,2,2,101492,5,26,28,,,,,,
1,3,11,2,1,3,4,100439,5,3,20,,,,,,
0,3,14,3,6,3,5,102592,5,3,90,,,,,,
1,2,8,2,5,2,3,100568,5,35,61,,,,,,
0,2,14,1,1,2,1,100745,5,7,21,,,,,,
0,2,5,2,1,2,2,102433,5,7,92,,,,,,
0,3,13,3,2,3,6,101254,5,33,47,,,,,,
0,2,1,1,1,2,2,101412,5,48,21,,,,,,
0,2,5,1,1,2,2,100178,5,26,45,,,,,,
0,3,14,2,1,3,4,100854,5,7,131,,,,,,
0,2,1,2,1,2,3,101616,5,15,71,,,,,,
0,2,11,2,1,3,3,101591,5,15,97,,,,,,
1,3,1,3,1,3,7,102611,5,21,31,,,,,,
0,2,1,2,1,2,3,101693,5,21,106,,,,,,
0,2,14,1,1,2,3,100583,5,37,40,,,,,,
0,2,14,1,1,2,2,100629,5,7,24,,,,,,
0,2,14,1,1,2,1,100754,5,7,35,,,,,,
1,2,13,1,1,2,2,101056,5,44,60,,,,,,
0,2,5,1,1,2,1,100188,5,26,35,,,,,,
1,2,13,1,1,2,2,101545,5,26,40,,,,,,
1,2,13,1,1,2,3,100179,5,26,78,,,,,,
0,2,11,2,1,2,3,100611,5,3,14,,,,,,
1,3,14,1,1,3,6,100743,5,7,18,,,,,,
0,2,1,2,1,3,4,101424,5,48,18,,,,,,
1,2,7,1,1,2,2,101544,5,26,24,,,,,,
0,2,14,1,1,2,1,101494,5,26,25,,,,,,
1,2,3,1,1,2,3,101492,5,26,89,,,,,,
0,2,1,1,1,2,1,100350,5,20,24,,,,,,
0,2,5,1,1,2,2,100350,5,20,23,,,,,,
0,2,5,1,1,2,1,100745,5,7,16,,,,,,
0,2,5,1,1,2,2,100745,5,7,48,,,,,,
0,2,1,1,1,2,2,100607,5,7,25,,,,,,
0,2,13,1,1,3,4,101430,5,48,79,,,,,,
1,2,3,1,1,2,2,101525,5,26,34,,,,,,
0,2,14,1,1,2,2,101492,5,26,90,,,,,,
1,3,11,2,1,3,4,101540,5,26,121,,,,,,
0,2,5,1,1,2,2,101568,5,15,64,,,,,,
0,2,11,1,1,2,2,101645,5,21,34,,,,,,
1,2,3,1,1,2,1,100416,5,3,2,,,,,,
0,3,11,2,1,3,4,100395,5,3,64,,,,,,
1,2,5,1,1,2,2,100514,5,30,110,,,,,,
0,3,1,2,1,3,4,101224,5,32,144,,,,,,
1,2,5,1,1,2,1,100605,5,7,49,,,,,,
1,2,14,1,1,2,2,100981,5,7,63,,,,,,
0,2,14,1,1,2,2,101180,5,52,16,,,,,,
0,2,1,2,4,3,4,100591,5,12,112,,,,,,
0,2,11,2,1,3,4,101413,5,48,128,,,,,,
1,2,7,1,1,2,2,101494,5,26,30,,,,,,
0,2,9,1,1,2,2,100350,5,20,40,,,,,,
1,2,1,1,1,2,3,100024,5,7,34,,,,,,
0,3,11,3,1,3,7,102324,5,7,43,,,,,,
1,2,7,1,1,2,2,100667,5,7,48,,,,,,
1,2,4,2,1,3,4,101413,5,48,24,,,,,,
1,2,5,1,1,2,2,101544,5,26,38,,,,,,
0,2,14,1,1,2,3,101544,5,26,105,,,,,,
0,2,14,1,1,2,2,100514,5,30,29,,,,,,
0,2,3,1,1,2,3,100754,5,7,32,,,,,,
